"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000000001",5142.11428378048,0.213958935223317,0.0575448198056612,0.000169766653495504,0.000723642215737821
"ENSMUSG00000000028",132.710076836881,-0.270208944004527,0.181177431100071,0.0932888032865307,0.177777570448122
"ENSMUSG00000000031",109.946685117013,0.708958805280583,0.225263583594554,0.000347973971335709,0.00138180593375764
"ENSMUSG00000000037",9.93201417365898,-0.0154992730332988,0.34825210258839,0.924281336447043,0.952641184477742
"ENSMUSG00000000056",532.77040212199,-0.0212617231351305,0.105171434677474,0.833100972896459,0.896134097691388
"ENSMUSG00000000058",1379.50498386658,0.204138236488566,0.0759765995283519,0.00616373648099212,0.0178656927704299
"ENSMUSG00000000078",6476.55861954288,-0.213647070560825,0.0559247929117613,0.000113614021514252,0.000502050984201554
"ENSMUSG00000000085",309.010557061736,0.0273157238810628,0.122336325786477,0.81517083551906,0.884085711217131
"ENSMUSG00000000088",2447.84262702098,-0.111670259288793,0.0759406698335773,0.13361488634821,0.235939092347076
"ENSMUSG00000000093",29.410832902383,0.425447010349221,0.393170842090541,0.0855454696870644,0.165823259230079
"ENSMUSG00000000094",20.2208926700098,0.0793856916347854,0.300841381269563,0.692240101545876,0.796593159082848
"ENSMUSG00000000120",46.3624474336786,-3.03174083879836,0.391043625964182,6.82854836863911e-16,1.08545466776493e-14
"ENSMUSG00000000126",76.6405966186886,-0.461074623247213,0.23240594842414,0.018271930408704,0.046197020541113
"ENSMUSG00000000127",528.453312694266,-0.347860660289979,0.1008444263458,0.000346536233746509,0.00137823410801638
"ENSMUSG00000000131",1680.59691841193,0.0618440344015652,0.0876829845793872,0.469893111590967,0.609199557166604
"ENSMUSG00000000134",2899.30608490032,0.045706109853037,0.0652169469294333,0.48367748031626,0.621438879569196
"ENSMUSG00000000142",77.390028734132,-0.229867065303702,0.212305053961511,0.201465254091926,0.32673298500529
"ENSMUSG00000000148",494.649362701261,0.248048699372874,0.119867202739675,0.0295714694305682,0.069262338062563
"ENSMUSG00000000149",2130.74503935682,-0.238787298083511,0.066075403619244,0.000242092894982062,0.000997718758636302
"ENSMUSG00000000154",49.0589472189966,0.13062603967004,0.2544129835167,0.50990852050977,0.645156682259005
"ENSMUSG00000000167",19.5586145745753,0.149942007793046,0.32127354905955,0.462433374385408,0.602502029417579
"ENSMUSG00000000168",1452.89628514031,0.128126894062223,0.0737054286496732,0.0769212962384522,0.152142936628653
"ENSMUSG00000000171",2816.22733096293,0.380618730404237,0.0737144096343908,1.4259657764912e-07,1.00079937085933e-06
"ENSMUSG00000000184",896.74719462579,-0.692974635207445,0.0894477336765988,2.35008125472771e-15,3.60683447744274e-14
"ENSMUSG00000000194",2831.20721775664,0.118034214235508,0.0639958095881449,0.0616999896255368,0.127350113843872
"ENSMUSG00000000202",4.53663113986841,0.252967093137021,0.484300324050101,0.0856659372405444,0.166014246091341
"ENSMUSG00000000204",255.760246423408,-0.465938647665609,0.159472337939414,0.00147074889747467,0.00505487121068996
"ENSMUSG00000000223",9.62950129656628,-0.0887397749350802,0.356707834359911,0.603313412033425,0.724274428786362
"ENSMUSG00000000244",20.2045356560913,-0.527192023534816,0.444335136288258,0.0489010398734211,0.104990132907923
"ENSMUSG00000000247",5.28222682550634,-0.108927738922698,0.390285227145073,0.418007065680742,0.562031317731185
"ENSMUSG00000000248",3.88434252139244,-0.26367679062599,0.496095031094781,0.0750016764838487,0.149008290427862
"ENSMUSG00000000253",176.390244477801,-0.761024822239181,0.164615174261762,7.82313836878742e-07,4.94868322475645e-06
"ENSMUSG00000000266",117.030281161949,0.123758937989389,0.228652909166029,0.510455454145993,0.645593791284335
"ENSMUSG00000000275",4916.78776600224,0.0851661694973108,0.0593269467551162,0.145839972515614,0.253310989660453
"ENSMUSG00000000276",445.483052959432,0.361066924864616,0.151328057353513,0.00980511959200998,0.0268789446061208
"ENSMUSG00000000278",10979.4471507833,0.00808869148843852,0.0595351437476677,0.892939381443751,0.93269672156931
"ENSMUSG00000000282",912.841319874886,-0.143339036384762,0.0896248847168845,0.100035816592275,0.187998344975138
"ENSMUSG00000000290",43775.1017156524,-0.0467589206719539,0.0669176636240255,0.474409440810341,0.612971733739544
"ENSMUSG00000000295",141.781006799866,-0.00988768709216467,0.16136179450405,0.945418641597208,0.967395293078233
"ENSMUSG00000000296",17.6143597215925,-0.603802623393262,0.501281058562585,0.0355318930557516,0.0806870071474359
"ENSMUSG00000000301",69.9214375360173,-0.209811727485021,0.216224839357663,0.249108695448701,0.383874061182913
"ENSMUSG00000000303",14.856235361191,-0.171532107134136,0.343267305325722,0.394738264710475,0.538976669404
"ENSMUSG00000000305",2.50210358140902,-0.148657092899106,0.424075238950142,0.15257489348209,0.262195143528907
"ENSMUSG00000000317",16.9503803148475,-0.192862343387166,0.349008513505389,0.345787422495136,0.490357719323796
"ENSMUSG00000000318",14.4773793311389,1.40274202342715,0.642213168753478,0.00180436569692416,0.00606235092510292
"ENSMUSG00000000320",15.1713869083629,1.04348549748317,0.702459708179129,0.00899925980637737,0.0249472560341842
"ENSMUSG00000000325",116.524414526027,-0.217178342753443,0.194299087506891,0.199289826065286,0.32415419605447
"ENSMUSG00000000326",1193.29516029198,0.294163590952747,0.0830112711909704,0.000286852738225638,0.00116354314407989
"ENSMUSG00000000339",955.786710037658,0.281124698292886,0.0889875533464933,0.0011650723772932,0.00409924345660276
"ENSMUSG00000000340",650.179867322577,0.0581180607748545,0.0944806035291164,0.527292177879968,0.660888811496459
"ENSMUSG00000000346",6013.9628805861,-0.240700122095733,0.0663528398278147,0.000223633963272469,0.000927591766377109
"ENSMUSG00000000355",523.934124364359,0.0278290198935192,0.100698992652384,0.775859729934436,0.857794141869773
"ENSMUSG00000000359",119.600065010203,0.373629162375942,0.182329575405147,0.0216735596549299,0.0532386089760757
"ENSMUSG00000000365",18.8898811563291,0.114836434760653,0.314828728327625,0.568829506547942,0.69585270857485
"ENSMUSG00000000374",2637.64810010838,0.126620958312361,0.0665270634083521,0.0535533649882423,0.113278622733545
"ENSMUSG00000000378",1198.82784708039,0.113383719435134,0.0783564451169667,0.140013997859507,0.245024496254136
"ENSMUSG00000000384",846.302601582113,0.250301196951974,0.102533684294128,0.0113604656132582,0.0305622465616581
"ENSMUSG00000000386",541.220826753844,-0.835767948307262,0.125784806881982,5.49565538901253e-12,6.30779987809082e-11
